Id;Parent;Nom;design;rd;imput;typecontrole;;
202;172;7446;Subventions de l'Union Européenne;rec;2;;;
203;172;7447;Subventions d'organismes internationaux;rec;2;;;
204;172;7448;Subventions d'autres collectivités publiques;rec;2;;;
205;172;746;Dons et legs;rec;2;;;
206;172;7481;Produits de la taxe d'apprentissage;rec;2;;;
207;172;7488;Autres subventions d'exploitation;rec;2;;;
208;172;751;Redevances pour concessions, brevets, licences…;rec;2;;;
209;172;752;Revenus des immeubles non affectés aux activités de l'éts;rec;2;;;
210;172;755;Quote part de résultat sur opérations faites en commun;rec;2;;;
211;172;757;Produits spécifiques;rec;2;;;
212;172;7583;Produits prov. d'annulation de dépenses des exercices antérieurs;rec;2;;;
213;172;7584;Frais de poursuite et de contentieux;rec;2;;;
214;172;758811;Frais de gestion centraux;rec;2;;;
215;172;758812;Frais gestion fédérations et UB;rec;2;;;
216;172;758813;Flux financiers internes;rec;2;;;
217;172;758814;Reversements soldes actions de FC ou de congrès;rec;2;;;
218;172;758815;Frais de gestion divers organismes extérieurs;rec;2;;;
219;172;75888;Autres produits divers de gestion courante;rec;2;;;
220;172;76;Produits financiers;rec;2;;;
221;172;771;Produits exceptionnels sur opérations de gestion;rec;2;;;
222;172;772;Produits des exercices antérieurs;rec;2;;;
223;172;775;Produits des cessions d'éléments d'actif;rec;2;;;
224;172;777;Quote-part des subventions d'inv. virée au résultat;rec;2;;;
225;172;778;Autres produits exceptionnels;rec;2;;;
226;172;7811;Reprises sur amortissements immo incorporelles et corporelles;rec;2;;;
227;172;7813;Quote-part reprise au résultat fin ratt à des actifs;rec;2;;;
228;172;7815;Reprises sur provisions d'exploitation;rec;2;;;
229;172;7816;Reprises sur dépréciations immo incorporelles et corporelles;rec;2;;;
230;172;7817;Reprises sur dépréciations actifs circulants;rec;2;;;
231;172;7863;Quote-part reprise au résultat fin ratt à des actifs (financiers);rec;2;;;
232;172;7865;Reprises sur provisions financières;rec;2;;;
233;172;7866;Reprises sur dépréciations des éléments financiers;rec;2;;;
234;184;7872;Reprises sur provisions réglementées (immo);rec;2;;;
235;184;7873;Quote-part reprise au résultat des financements ratt à des actifs;rec;2;;;
236;174;7875;Reprises sur provisions exceptionnelles;rec;2;;;
237;174;7876;Reprises sur dépréciations exceptionnelles;rec;2;;;
238;174;79;Transferts de charges;rec;2;;;

